Tanggal,cctv_id,type_object,type_validation,"Jumlah Deviasi"
2022-11-01,3,Person,false,3
2022-11-02,1,HD,false,10
2022-11-02,1,LV,false,10
2022-11-02,1,Person,false,21
2022-11-02,2,HD,true,1
2022-11-02,2,HD,false,10
2022-11-02,2,LV,false,100
2022-11-02,2,Person,false,62
2022-11-02,3,Person,true,4
2022-11-02,3,Person,false,6
2022-11-02,5,HD,false,10
2022-11-02,5,LV,false,10
2022-11-02,5,Person,false,20
2022-11-03,2,HD,false,15
2022-11-03,3,HD,false,263
2022-11-03,3,LV,false,12
2022-11-03,3,Person,true,1
2022-11-03,3,Person,false,159
2022-11-04,2,HD,false,38
2022-11-04,2,LV,false,2
2022-11-04,2,Person,true,1
2022-11-04,2,Person,false,23
2022-11-05,1,HD,true,3
2022-11-05,1,HD,false,122
2022-11-05,1,LV,false,66
2022-11-05,1,Person,true,6
2022-11-05,1,Person,false,21
2022-11-05,2,Person,true,35
2022-11-05,2,Person,false,3
2022-11-05,5,HD,false,38
2022-11-06,1,HD,false,142
2022-11-06,2,HD,false,52
2022-11-06,5,HD,false,58
2022-11-07,1,HD,false,2
2022-11-07,1,Person,false,22
2022-11-07,2,HD,false,153
2022-11-07,2,Person,true,1
2022-11-07,2,Person,false,4
2022-11-09,1,Person,false,102
2022-11-09,2,HD,false,1
2022-11-09,5,HD,false,4
2022-11-11,2,HD,false,5
2022-11-11,2,Person,false,1
2022-11-11,5,Person,false,2
2022-11-12,1,HD,true,1
2022-11-12,1,HD,false,76
2022-11-13,1,HD,true,157
2022-11-13,1,HD,false,150
2022-11-13,1,Person,false,1
2022-11-14,1,HD,false,80
2022-11-14,1,LV,false,10
2022-11-14,1,Person,false,19
2022-11-15,1,HD,false,2
2022-11-16,2,HD,false,14
2022-11-17,2,HD,false,44
2022-11-17,2,LV,false,36
2022-11-17,2,Person,true,11
2022-11-17,2,Person,false,45
2022-11-19,2,HD,false,33
2022-11-19,2,LV,false,20
2022-11-19,2,Person,false,28
2022-11-20,2,HD,false,10
2022-11-20,2,Person,false,8
2022-11-23,1,Person,false,60
2022-11-23,2,HD,false,16
2022-11-23,2,LV,false,8
2022-11-23,2,Person,false,27
2022-11-25,1,HD,false,1
2022-11-26,2,HD,false,178
2022-11-26,2,LV,false,1
2022-11-26,2,Person,true,4
2022-11-26,2,Person,false,34
2022-11-27,2,HD,false,11
2022-11-27,2,Person,false,29
2022-11-28,2,HD,false,123
2022-11-28,2,LV,false,10
2022-11-28,2,Person,true,36
2022-11-28,2,Person,false,7
2022-11-29,1,HD,true,4
2022-11-29,1,HD,false,112
2022-11-29,1,LV,false,5
2022-11-29,1,Person,true,41
2022-11-29,1,Person,false,18
2022-11-30,1,HD,true,3
2022-11-30,1,HD,false,65
2022-11-30,1,Person,false,9
